master_list_code	master_list_celltype	master_list_code_combined	Cell type/tissue	source	experiment	URL	comments
wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	HSMM	ENCODE_DUKE	ChromatinAccessibility		
wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	HSMM	ENCODE_DUKE	H3K27ac	https://www.encodeproject.org/files/ENCFF000BLA/@@download/ENCFF000BLA.bigWig	
wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	HSMM	ENCODE_DUKE	H3K4me1	https://www.encodeproject.org/files/ENCFF000BLS/@@download/ENCFF000BLS.bigWig	
wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	HSMM	ENCODE_DUKE	H3K4me3	https://www.encodeproject.org/files/ENCFF000BME/@@download/ENCFF000BME.bigWig	
wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	wgEncodeOpenChromDnaseHsmm	HSMM	ENCODE_DUKE	H3K9ac	https://www.encodeproject.org/files/ENCFF000BMQ/@@download/ENCFF000BMQ.bigWig	
wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	HSMMtube	ENCODE_DUKE	ChromatinAccessibility		
wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	HSMMtube	ENCODE_DUKE	H3K27ac	https://www.encodeproject.org/files/ENCFF000BOL/@@download/ENCFF000BOL.bigWig	
wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	HSMMtube	ENCODE_DUKE	H3K4me1	https://www.encodeproject.org/files/ENCFF000BPF/@@download/ENCFF000BPF.bigWig	
wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	HSMMtube	ENCODE_DUKE	H3K4me3	https://www.encodeproject.org/files/ENCFF000BPP/@@download/ENCFF000BPP.bigWig	
wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	wgEncodeOpenChromDnaseHsmmt	HSMMtube	ENCODE_DUKE	H3K9ac	https://www.encodeproject.org/files/ENCFF000BQB/@@download/ENCFF000BQB.bigWig	
DS12088	PrEC	PrEC-DS12088	PrEC	ENCODE_UW	ChromatinAccessibility		
DS12098	PrEC	PrEC-DS12098	PrEC	ENCODE_UW	ChromatinAccessibility		
DS12319	AG04449	AG04449-DS12319	AG04449	ENCODE_UW	ChromatinAccessibility		
DS14040	CD34		Dont know	Don't know	ChromatinAccessibility		
Adult_Th1_	Adult_Th1_	Adult_Th1_	Adult_Th1_	ENCODE_DUKE	ChromatinAccessibility		
DS14285	A549	A549-DS14285	A549	ENCODE_UW	ChromatinAccessibility		
DS14285	A549	A549-DS14285	A549	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000AKM/@@download/ENCFF000AKM.bigWig	ethanol
DS14285	A549	A549-DS14285	A549	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000AIO/@@download/ENCFF000AIO.bigWig	ethanol
DS14285	A549	A549-DS14285	A549	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000AJM/@@download/ENCFF000AJM.bigWig	ethanol
DS14285	A549	A549-DS14285	A549	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000AJS/@@download/ENCFF000AJS.bigWig	ethanol
DS12255	AG04450	AG04450-DS12255	AG04450	ENCODE_UW	ChromatinAccessibility		
DS12255	AG04450	AG04450-DS12255	AG04450	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF001ENF/@@download/ENCFF001ENF.bigWig	raw signal rep 1 (Stam)
DS12255	AG04450	AG04450-DS12255	AG04450	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001ENU/@@download/ENCFF001ENU.bigWig	raw signal rep 1 (Stam)
DS14289	A549	A549-DS14289	A549	ENCODE_UW	ChromatinAccessibility		
DS14289	A549	A549-DS14289	A549	ENCODE_UW	H3K27ac	https://www.encodeproject.org/files/ENCFF000AKM/@@download/ENCFF000AKM.bigWig	ethanol
DS14289	A549	A549-DS14289	A549	ENCODE_UW	H3K4me1	https://www.encodeproject.org/files/ENCFF000AIO/@@download/ENCFF000AIO.bigWig	ethanol
DS14289	A549	A549-DS14289	A549	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF000AJM/@@download/ENCFF000AJM.bigWig	ethanol
DS14289	A549	A549-DS14289	A549	ENCODE_UW	H3K9ac	https://www.encodeproject.org/files/ENCFF000AJS/@@download/ENCFF000AJS.bigWig	ethanol
DS12329	AG04449	AG04449-DS12329	AG04449	ENCODE_UW	ChromatinAccessibility		
DS12329	AG04449	AG04449-DS12329	AG04449	ENCODE_UW	H3K4me3	https://www.encodeproject.org/files/ENCFF001EMH/@@download/ENCFF001EMH.bigWig	raw signal rep 1 (Stam)
DS12270	AG04450	AG04450-DS12270	AG04450	ENCODE_UW	ChromatinAccessibility		
